building_id,address,normalized_address,street_number,street_name,city,state,zip_code,lat,lng,building_type,building_area_sqft,num_stories,estimated_roof_area,solar_capacity_kw,score,score_breakdown,geocoded,data_quality,sources,business_name,business_types,business_rating,business_reviews_count,business_status,business_website,business_phone,solar_max_panels,solar_max_area_m2,solar_sunshine_hours_year,solar_carbon_offset_kg_mwh,solar_optimal_panels,solar_optimal_energy_kwh_year,solar_monthly_savings,solar_payback_years,solar_financially_viable,solar_panel_capacity_watts,solar_roof_area_m2,solar_roof_segment_count,solar_min_panels,solar_min_energy_kwh,solar_percentage,icp_bucket,ineligible,enriched_score,enriched_score_breakdown,solar_proxy
UNY_001,"100 State Street, Rochester, NY 14614","100 STATE ST, ROCHESTER, NY 14614",100,State Street,Rochester,NY,14614,43.1577838,-77.6137595,office,45000.0,8.0,3937.4999999999995,39.37499999999999,65.0,"{'building_type': 20, 'roof_area': 5, 'geocoding': 20, 'data_quality': 15, 'building_size': 5}",True,high,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
UNY_002,"1 Bausch & Lomb Place, Rochester, NY 14604","1 BAUSCH & LOMB PL, ROCHESTER, NY 14604",1,Bausch,Rochester,NY,14604,43.1546058,-77.6059888,office,120000.0,12.0,7000.0,70.0,75.0,"{'building_type': 20, 'roof_area': 10, 'geocoding': 20, 'data_quality': 15, 'building_size': 10}",True,high,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
UNY_003,"260 East Avenue, Rochester, NY 14604","260 E AVE, ROCHESTER, NY 14604",260,East Avenue,Rochester,NY,14604,,,office,85000.0,10.0,5950.0,59.5,52.0,"{'building_type': 20, 'roof_area': 10, 'geocoding': 0, 'data_quality': 15, 'building_size': 7}",False,medium,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
UNY_004,"400 Andrews Street, Rochester, NY 14604","400 ANDREWS ST, ROCHESTER, NY 14604",400,Andrews Street,Rochester,NY,14604,43.1605783,-77.604391,industrial,200000.0,3.0,46666.666666666664,466.66666666666663,95.0,"{'building_type': 30, 'roof_area': 20, 'geocoding': 20, 'data_quality': 15, 'building_size': 10}",True,high,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
UNY_005,"1200 Scottsville Road, Rochester, NY 14624","1200 SCOTTSVILLE RD, ROCHESTER, NY 14624",1200,Scottsville Road,Rochester,NY,14624,43.1169041,-77.6559526,warehouse,150000.0,1.0,105000.0,1050.0,98.0,"{'building_type': 28, 'roof_area': 25, 'geocoding': 20, 'data_quality': 15, 'building_size': 10}",True,high,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
UNY_006,"100 Midtown Plaza, Rochester, NY 14604","100 MIDTOWN PLAZA, ROCHESTER, NY 14604",100,Midtown Plaza,Rochester,NY,14604,,,retail,250000.0,4.0,43750.0,437.5,67.0,"{'building_type': 22, 'roof_area': 20, 'geocoding': 0, 'data_quality': 15, 'building_size': 10}",False,medium,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
UNY_007,"1 Xerox Square, Rochester, NY 14604","1 XEROX SQUARE, ROCHESTER, NY 14604",1,Xerox Square,Rochester,NY,14604,43.1545914,-77.6042427,office,180000.0,15.0,8400.0,84.0,75.0,"{'building_type': 20, 'roof_area': 10, 'geocoding': 20, 'data_quality': 15, 'building_size': 10}",True,high,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
UNY_008,"3450 Winton Place, Rochester, NY 14623","3450 WINTON PL, ROCHESTER, NY 14623",3450,Winton Place,Rochester,NY,14623,,,commercial,75000.0,2.0,26250.0,262.5,67.0,"{'building_type': 25, 'roof_area': 20, 'geocoding': 0, 'data_quality': 15, 'building_size': 7}",False,medium,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
UNY_009,"75 College Avenue, Rochester, NY 14607","75 COLLEGE AVE, ROCHESTER, NY 14607",75,College Avenue,Rochester,NY,14607,43.1589491,-77.5874175,mixed_use,35000.0,3.0,8166.666666666666,81.66666666666666,65.0,"{'building_type': 15, 'roof_area': 10, 'geocoding': 20, 'data_quality': 15, 'building_size': 5}",True,high,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
UNY_010,"2000 Winton Road South, Rochester, NY 14618","2000 WINTON RD S, ROCHESTER, NY 14618",2000,Winton Road South,Rochester,NY,14618,,,retail,95000.0,2.0,33250.0,332.5,64.0,"{'building_type': 22, 'roof_area': 20, 'geocoding': 0, 'data_quality': 15, 'building_size': 7}",False,medium,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
UNY_011,"1000 Elmwood Avenue, Rochester, NY 14620","1000 ELMWOOD AVE, ROCHESTER, NY 14620",1000,Elmwood Avenue,Rochester,NY,14620,43.1262718,-77.6124378,institutional,125000.0,4.0,21875.0,218.75,72.0,"{'building_type': 12, 'roof_area': 15, 'geocoding': 20, 'data_quality': 15, 'building_size': 10}",True,high,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
UNY_012,"1 Seneca Street, Buffalo, NY 14203","1 SENECA ST, BUFFALO, NY 14203",1,Seneca Street,Buffalo,NY,14203,,,office,110000.0,12.0,6416.666666666666,64.16666666666666,55.0,"{'building_type': 20, 'roof_area': 10, 'geocoding': 0, 'data_quality': 15, 'building_size': 10}",False,medium,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
UNY_013,"500 Pearl Street, Buffalo, NY 14202","500 PEARL ST, BUFFALO, NY 14202",500,Pearl Street,Buffalo,NY,14202,42.8934077,-78.873421,office,95000.0,10.0,6650.0,66.5,72.0,"{'building_type': 20, 'roof_area': 10, 'geocoding': 20, 'data_quality': 15, 'building_size': 7}",True,high,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
UNY_014,"1000 Niagara Street, Buffalo, NY 14213","1000 NIAGARA ST, BUFFALO, NY 14213",1000,Niagara Street,Buffalo,NY,14213,,,industrial,175000.0,2.0,61249.99999999999,612.4999999999999,80.0,"{'building_type': 30, 'roof_area': 25, 'geocoding': 0, 'data_quality': 15, 'building_size': 10}",False,medium,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
UNY_015,"95 Perry Street, Buffalo, NY 14203","95 PERRY ST, BUFFALO, NY 14203",95,Perry Street,Buffalo,NY,14203,,,warehouse,140000.0,1.0,98000.0,980.0,78.0,"{'building_type': 28, 'roof_area': 25, 'geocoding': 0, 'data_quality': 15, 'building_size': 10}",False,medium,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
UNY_016,"100 Clinton Square, Syracuse, NY 13202","100 CLINTON SQUARE, SYRACUSE, NY 13202",100,Clinton Square,Syracuse,NY,13202,43.0518306,-76.1512043,office,80000.0,8.0,7000.0,70.0,72.0,"{'building_type': 20, 'roof_area': 10, 'geocoding': 20, 'data_quality': 15, 'building_size': 7}",True,high,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
UNY_017,"500 South Warren Street, Syracuse, NY 13202","500 S WARREN ST, SYRACUSE, NY 13202",500,South Warren Street,Syracuse,NY,13202,43.0451138,-76.1511173,office,65000.0,6.0,7583.333333333333,75.83333333333333,72.0,"{'building_type': 20, 'roof_area': 10, 'geocoding': 20, 'data_quality': 15, 'building_size': 7}",True,high,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
UNY_018,"1 Webster's Landing, Syracuse, NY 13202","1 WEBSTER'S LANDING, SYRACUSE, NY 13202",1,Webster's Landing,Syracuse,NY,13202,,,mixed_use,55000.0,4.0,9625.0,96.25,47.0,"{'building_type': 15, 'roof_area': 10, 'geocoding': 0, 'data_quality': 15, 'building_size': 7}",False,medium,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
UNY_019,"1 Commerce Plaza, Albany, NY 12260","1 COMMERCE PLAZA, ALBANY, NY 12260",1,Commerce Plaza,Albany,NY,12260,,,office,150000.0,18.0,5833.333333333333,58.33333333333333,55.0,"{'building_type': 20, 'roof_area': 10, 'geocoding': 0, 'data_quality': 15, 'building_size': 10}",False,medium,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
UNY_020,"625 Broadway, Albany, NY 12207","625 BROADWAY, ALBANY, NY 12207",625,Broadway,Albany,NY,12207,42.6525014,-73.7487353,office,72000.0,7.0,7200.0,72.0,72.0,"{'building_type': 20, 'roof_area': 10, 'geocoding': 20, 'data_quality': 15, 'building_size': 7}",True,high,"['extended_demo', 'manual_input']",,,,,,,,,,,,,,,,,,,,,,,,,,,
SEED_9014115479109321165,"121 Driving Park Ave, Rochester, NY 14613",,,,,,,43.1806394,-77.63319609999999,industrial,,,0.0,,,,True,,['mixed_discovery'],Greater Harvest Church,"church,establishment,place_of_worship,point_of_interest",4.8,25.0,OPERATIONAL,http://gharvestchurch.com/,(585) 496-4647,544.0,1068.1738,1443.1714,463.57233,544.0,260773.64,100,8.5,False,400.0,1608.2603,46.0,4.0,2335.4146,,⛪ Tier 2: Nonprofit/Community,False,75.0,"{'solar_potential': 40, 'icp_relevance': 15, 'building_type': 10, 'business_identified': 7, 'good_rating_bonus': 3}",
SEED_6699454448629738838,"440 East Ave, Rochester, NY 14607",,,,,,,43.155195,-77.59248,industrial,,,0.0,,,,True,,['mixed_discovery'],Grace Road Church,"church,establishment,place_of_worship,point_of_interest",4.8,106.0,OPERATIONAL,http://www.graceroadchurch.org/,(585) 204-0468,523.0,1026.9392,1460.9514,463.57233,523.0,253111.88,100,8.5,False,400.0,1800.2212,58.0,4.0,2348.1018,,⛪ Tier 2: Nonprofit/Community,False,75.0,"{'solar_potential': 40, 'icp_relevance': 15, 'building_type': 10, 'business_identified': 7, 'good_rating_bonus': 3}",
SEED_2474779029374019787,"907 E. Ferry Street, Buffalo, NY",,,,,,,42.9143713,-78.8304558,industrial,,,0.0,,,,True,,['mixed_discovery'],True Bethel Baptist Church,"church,establishment,place_of_worship,point_of_interest",4.7,205.0,OPERATIONAL,http://www.truebethel.com/,(716) 895-8222,26.0,51.052425,1474.9958,463.57233,26.0,12736.161,100,8.75,False,400.0,86.9481,5.0,4.0,2337.1008,,⛪ Tier 2: Nonprofit/Community,False,50.0,"{'solar_potential': 15, 'icp_relevance': 15, 'building_type': 10, 'business_identified': 7, 'good_rating_bonus': 3}",
SEED_-3474712275203612019,"212 Stanislaus St, Buffalo, NY",,,,,,,42.8977251,-78.8314537,industrial,,,0.0,,,,True,,['mixed_discovery'],Saint Adalbert Basilica,"church,establishment,place_of_worship,point_of_interest,tourist_attraction",4.7,41.0,OPERATIONAL,http://www.saintadalbertbasilica.org/,(716) 893-0412,630.0,1237.0396,1428.586,463.57233,630.0,269376.66,100,8.5,False,400.0,1914.0983,45.0,4.0,2364.4827,,⛪ Tier 2: Nonprofit/Community,False,75.0,"{'solar_potential': 40, 'icp_relevance': 15, 'building_type': 10, 'business_identified': 7, 'good_rating_bonus': 3}",
SEED_-602028131061522881,"927 Park Avenue, Syracuse, NY",,,,,,,43.0519859,-76.17919959999999,industrial,,,0.0,,,,True,,['mixed_discovery'],Basilica of the Sacred Heart of Jesus,"church,establishment,place_of_worship,point_of_interest",4.7,79.0,OPERATIONAL,http://www.sacredheartbasilicasyr.org/,(315) 422-2343,580.0,1138.8618,1382.3318,463.57233,580.0,238485.89,100,9.083333,False,400.0,1630.4325,34.0,4.0,2236.051,,⛪ Tier 2: Nonprofit/Community,False,75.0,"{'solar_potential': 40, 'icp_relevance': 15, 'building_type': 10, 'business_identified': 7, 'good_rating_bonus': 3}",
SEED_-2217551501147628118,"7000 All Nations Blvd, East Syracuse, NY 13057",,,,,,,43.1242026,-76.0530852,industrial,,,0.0,,,,True,,['mixed_discovery'],Abundant Life Christian Center,"church,establishment,place_of_worship,point_of_interest,school",4.6,108.0,OPERATIONAL,https://abundantlife.church/,(315) 463-7300,2712.0,5325.1606,1456.5983,463.57233,2712.0,1318211.6,100,8.583333,False,400.0,6934.813,62.0,4.0,2342.133,,⛪ Tier 2: Nonprofit/Community,False,75.0,"{'solar_potential': 40, 'icp_relevance': 15, 'building_type': 10, 'business_identified': 7, 'good_rating_bonus': 3}",
SEED_-4110204674191029313,"125 Eagle Street, Albany, NY 12202",,,,,,,42.6469723,-73.7594383,industrial,,,0.0,,,,True,,['mixed_discovery'],Cathedral of the Immaculate Conception,"church,establishment,place_of_worship,point_of_interest,tourist_attraction",4.7,301.0,OPERATIONAL,https://cathedralic.com/,(518) 463-4447,115.0,225.8088,1392.8016,463.57233,115.0,62533.043,100,7.5833335,False,400.0,337.83487,3.0,4.0,2212.8274,,⛪ Tier 2: Nonprofit/Community,False,70.0,"{'solar_potential': 35, 'icp_relevance': 15, 'building_type': 10, 'business_identified': 7, 'good_rating_bonus': 3}",
SEED_4219943219926835678,"354 Whitney Street, Rochester, NY",,,,,,,43.1637358,-77.6364213,warehouse,,,0.0,,,,True,,['mixed_discovery'],Lumina Industrial Park,,,,,,,20.0,39.271095,1313.0874,463.57233,20.0,8641.336,100,10.5,False,400.0,62.449066,3.0,4.0,2043.1595,,🏭 Tier 1: Manufacturing/Industrial,False,57.0,"{'solar_potential': 15, 'icp_relevance': 25, 'building_type': 10, 'business_identified': 7}",
SEED_-7810298879780282263,"25 Excel Drive, Rochester, NY",,,,,,,43.187147,-77.6115866,warehouse,,,0.0,,,,True,,['mixed_discovery'],SCORE,"establishment,finance,point_of_interest",3.0,6.0,OPERATIONAL,https://score.org/greaterrochester/?utm_source=google-business-profile&utm_medium=organic-soci&utm_campaign=main-website-cta,(585) 263-6473,54.0,106.03196,1476.3826,463.57233,54.0,26024.342,100,8.5,False,400.0,152.065,4.0,4.0,2352.2527,,General Commercial,False,42.0,"{'solar_potential': 25, 'building_type': 10, 'business_identified': 7}",
SEED_-2117009092087128463,"24 Industrial Park Circle, Rochester, NY 14624",,,,,,,43.1308817,-77.7402132,warehouse,,,0.0,,,,True,,['mixed_discovery'],Wegmans Corporate Office,"establishment,point_of_interest",3.0,176.0,OPERATIONAL,http://www.wegmans.com/webapp/wcs/stores/servlet/ProductDisplay?productId=758922&storeId=10052&langId=-1,(800) 934-6267,407.0,799.1668,1331.0802,463.57233,407.0,203006.66,100,9.25,False,400.0,1006.8881,4.0,4.0,2126.9893,,General Commercial,False,57.0,"{'solar_potential': 40, 'building_type': 10, 'business_identified': 7}",
SEED_-7254554542391549682,"2800 Hamburg Turnpike, Buffalo, NY 14218",,,,,,,42.807642,-78.8421633,industrial,,,0.0,,,,True,,['mixed_discovery'],Steelworks Industrial Park,,,,,,,29418.0,57763.855,1458.3287,463.57233,29418.0,14710249.0,100,8.416667,False,400.0,68476.03,99.0,4.0,2333.2332,,🏭 Tier 1: Manufacturing/Industrial,False,82.0,"{'solar_potential': 40, 'icp_relevance': 25, 'building_type': 10, 'business_identified': 7}",
SEED_-875374504358232657,"575 Kennedy Road, Cheektowaga, NY 14227",,,,,,,42.8994165,-78.7755732,warehouse,,,0.0,,,,True,,['mixed_discovery'],Kennedy Warehouse Services,"establishment,point_of_interest,storage",2.3,3.0,OPERATIONAL,http://www.bw-ny.com/introsummary.html,(716) 897-1606,134.0,263.11636,1368.0187,463.57233,134.0,70735.91,100,9.083333,False,400.0,401.23483,1.0,4.0,2148.7622,,📦 Tier 1: Warehousing/Storage,False,77.0,"{'solar_potential': 35, 'icp_relevance': 25, 'building_type': 10, 'business_identified': 7}",
SEED_1226158027160354848,"5171 Route 31, Town of Clay, NY 13041",,,,,,,43.18637700000001,-76.159269,warehouse,,,0.0,,,,True,,['mixed_discovery'],White Pine Commerce Park,,,,,,,0.0,,,,,0.0,,,,,,,,,,General Commercial,False,39.0,"{'solar_potential': 12, 'financial_viability': 10, 'building_type': 10, 'business_identified': 7}",True
SEED_3869526251443172870,"300 Great Oaks Blvd, Albany, NY 12203",,,,,,,42.6812651,-73.8466847,warehouse,,,0.0,,,,True,,['mixed_discovery'],Great Oaks Office Park,"establishment,point_of_interest",4.6,97.0,OPERATIONAL,http://www.greatoaksofficepark.com/,(518) 869-9302,1076.0,2112.785,1384.86,463.57233,1076.0,579230.3,100,7.6666665,False,400.0,2779.295,7.0,4.0,2219.3362,,General Commercial,False,60.0,"{'solar_potential': 40, 'building_type': 10, 'business_identified': 7, 'good_rating_bonus': 3}",
SEED_4209989172650237377,"4253 Albany St, Albany, NY 12205",,,,,,,42.730906,-73.8614619,warehouse,,,0.0,,,,True,,['mixed_discovery'],"Lansing Building Products - Albany, NY","establishment,point_of_interest,store",4.5,26.0,OPERATIONAL,https://www.lansingnow.com/visitor/lansing-branches/new-york/albany-ny?&destinationWarehouseCode=ABNY,(518) 862-1490,1199.0,2354.3022,1372.0741,463.57233,1199.0,646184.7,100,7.6666665,False,400.0,2863.4724,4.0,4.0,2216.1565,,General Commercial,False,60.0,"{'solar_potential': 40, 'building_type': 10, 'business_identified': 7, 'good_rating_bonus': 3}",
SEED_2453814435221608800,"1200 William Street, Buffalo, NY 14240",,,,,,,42.8854885,-78.8262106,warehouse,,,0.0,,,,True,,['mixed_discovery'],United States Postal Service,"establishment,finance,local_government_office,point_of_interest,post_office",2.6,134.0,OPERATIONAL,https://tools.usps.com/locations/details/1433722?utm_source=google-my-business-url&utm_medium=search&utm_campaign=yext,(800) 275-8777,121.0,237.59013,1394.4513,463.57233,121.0,63538.74,100,8.666667,False,400.0,302.3964,3.0,4.0,2208.5833,,General Commercial,False,52.0,"{'solar_potential': 35, 'building_type': 10, 'business_identified': 7}",
SEED_-2929440058207073385,"1335 Jefferson Rd, Rochester, NY 14692",,,,,,,43.086289,-77.5941717,warehouse,,,0.0,,,,True,,['mixed_discovery'],United States Postal Service,"establishment,finance,local_government_office,point_of_interest,post_office",2.4,230.0,OPERATIONAL,https://tools.usps.com/locations/details/1433854?utm_source=google-my-business-url&utm_medium=search&utm_campaign=yext,(800) 275-8777,98.0,192.42838,1468.5461,463.57233,98.0,49009.18,100,8.5,False,400.0,290.8782,5.0,4.0,2347.1821,,General Commercial,False,42.0,"{'solar_potential': 25, 'building_type': 10, 'business_identified': 7}",
SMART_ChIJtw6e_2YJ04kRfQvlh39pTq0,"100 Allied Dr, Buffalo, NY 14227, United States",,,,,,,42.89703739999999,-78.7804731,industrial,,,0.0,,,,,,"['smart_discovery', 'cold storage facilities in Tonawanda NY']",Lineage Logistics,"establishment,point_of_interest,storage",4.2,20.0,OPERATIONAL,https://www.onelineage.com/,(716) 894-4000,2734.0,5368.359,1355.3074,463.57233,2734.0,1457358.0,100,8.916667,False,400.0,6021.4624,4.0,4.0,2173.4429,,📦 Tier 1: Warehousing/Storage,False,85.0,"{'solar_potential': 40, 'icp_relevance': 25, 'building_type': 10, 'business_identified': 7, 'good_rating_bonus': 3}",
SMART_ChIJCQxQPwAN04kR6NT_Y6qm0qo,"160 Empire Dr, Buffalo, NY 14224, United States",,,,,,,42.860281,-78.76284,industrial,,,0.0,,,,,,"['smart_discovery', 'cold storage facilities in Tonawanda NY']","Rosina Food Products, Inc.","establishment,food,grocery_or_supermarket,point_of_interest,store",3.9,27.0,OPERATIONAL,http://www.rosina.com/,(716) 608-8500,168.0,329.87723,1399.3822,463.57233,168.0,86439.82,100,8.583333,False,400.0,456.79147,4.0,4.0,2229.899,,General Commercial,False,52.0,"{'solar_potential': 35, 'building_type': 10, 'business_identified': 7}",
SMART_ChIJpVYuqKpy04kRGF4GutTCZjs,"2381 Fillmore Ave, Buffalo, NY 14214, United States",,,,,,,42.9384075,-78.8390732,industrial,,,0.0,,,,,,"['smart_discovery', 'cold storage facilities in Tonawanda NY']",ecs warehouse,,,,,,,49.0,96.21419,1347.3827,463.57233,49.0,24308.188,100,9.166667,False,400.0,147.23753,4.0,4.0,2103.5405,,📦 Tier 1: Warehousing/Storage,False,57.0,"{'solar_potential': 15, 'icp_relevance': 25, 'building_type': 10, 'business_identified': 7}",
SMART_ChIJAVa1l_AM04kRPE5AoxUv_ZM,"2501 Broadway, Buffalo, NY 14227, United States",,,,,,,42.8994572,-78.7807435,industrial,,,0.0,,,,,,"['smart_discovery', 'cold storage facilities in Tonawanda NY']",Lineage,"establishment,point_of_interest,storage",3.6,120.0,OPERATIONAL,https://www.onelineage.com/?utm_source=gmb&utm_medium=yext,(716) 894-4000,3657.0,7180.72,1357.0682,463.57233,3657.0,1951746.4,100,8.75,False,400.0,7898.855,4.0,4.0,2194.9463,,📦 Tier 1: Warehousing/Storage,False,82.0,"{'solar_potential': 40, 'icp_relevance': 25, 'building_type': 10, 'business_identified': 7}",
SMART_ChIJa7GR_lxt04kREzq8TGtZCVA,"232 Sawyer Ave, Tonawanda Town, NY 14150, United States",,,,,,,42.9761231,-78.9218041,industrial,,,0.0,,,,,,"['smart_discovery', 'cold storage facilities in Tonawanda NY']",Buffalo Biodiesel Inc,"establishment,point_of_interest",4.0,559.0,OPERATIONAL,http://www.buffalobiodiesel.com/,(800) 721-1427,65.0,127.631065,1366.4283,463.57233,65.0,34657.59,100,8.833333,False,400.0,175.2381,2.0,4.0,2168.2417,,General Commercial,False,45.0,"{'solar_potential': 25, 'building_type': 10, 'business_identified': 7, 'good_rating_bonus': 3}",
SMART_ChIJJ-AALwt21IkRm0zuftQ688o,"630 Main St, Medina, NY 14103, United States",,,,,,,43.2179306,-78.38755739999999,industrial,,,0.0,,,,,,"['smart_discovery', 'cold storage facilities in Tonawanda NY']",Medina Cold Storage Co Inc,"establishment,point_of_interest,storage",4.6,33.0,OPERATIONAL,http://www.medinacoldstorage.com/,(585) 798-3811,0.0,,,,,0.0,,,,,,,,,,📦 Tier 1: Warehousing/Storage,False,67.0,"{'solar_potential': 12, 'icp_relevance': 25, 'financial_viability': 10, 'building_type': 10, 'business_identified': 7, 'good_rating_bonus': 3}",True
SMART_ChIJ1d7uETWB1IkRrttjC7IkyYs,"5796 Wilson Burt Rd, Burt, NY 14028, United States",,,,,,,43.3080023,-78.7230142,industrial,,,0.0,,,,,,"['smart_discovery', 'cold storage facilities in Tonawanda NY']",Niagara Fresh Fruit Company,"establishment,food,point_of_interest",4.9,11.0,OPERATIONAL,http://niagarafreshfruit.com/,(716) 778-7631,0.0,,,,,0.0,,,,,,,,,,General Commercial,False,42.0,"{'solar_potential': 12, 'financial_viability': 10, 'building_type': 10, 'business_identified': 7, 'good_rating_bonus': 3}",True
SMART_ChIJ6ZQZVlVv04kR0z7EV01NbdU,"836 Niagara Falls Blvd, North Tonawanda, NY 14120, United States",,,,,,,43.0589926,-78.84112449999999,industrial,,,0.0,,,,,,"['smart_discovery', 'cold storage facilities in Tonawanda NY']",Secure Storage,"establishment,point_of_interest,storage",5.0,41.0,OPERATIONAL,https://www.securestorage.org/locations/north-tonawanda-ny-14120?utm_source=google&utm_medium=organic&utm_campaign=gbp,(716) 614-0400,6.0,11.781329,1347.269,463.57233,6.0,2951.7283,100,11.666667,False,400.0,23.405428,2.0,4.0,1976.9424,,📦 Tier 1: Warehousing/Storage,False,60.0,"{'solar_potential': 15, 'icp_relevance': 25, 'building_type': 10, 'business_identified': 7, 'good_rating_bonus': 3}",
SMART_ChIJiR5lP7Vt04kREfp0RpujXyA,"2250 Military Rd, Tonawanda, NY 14150, United States",,,,,,,42.9981534,-78.8827182,industrial,,,0.0,,,,,,"['smart_discovery', 'cold storage facilities in Tonawanda NY']",Tonawanda Self Store,,,,,,,23.0,45.161762,1425.651,463.57233,23.0,11475.912,100,9.083333,False,400.0,79.59682,4.0,4.0,2261.1506,,General Commercial,False,32.0,"{'solar_potential': 15, 'building_type': 10, 'business_identified': 7}",
SMART_ChIJNfDThPBv04kRx9qFLWXnujY,"1212 Erie Ave, North Tonawanda, NY 14120, United States",,,,,,,43.0517124,-78.8470635,industrial,,,0.0,,,,,,"['smart_discovery', 'cold storage facilities in Tonawanda NY']",North Tonawanda Self Storage,"establishment,point_of_interest,storage",5.0,3.0,OPERATIONAL,https://www.northtonawandaselfstorage.com/,(716) 340-0005,54.0,106.03196,1318.6653,463.57233,54.0,27156.152,100,9.333333,False,400.0,134.18793,1.0,4.0,2065.037,,📦 Tier 1: Warehousing/Storage,False,70.0,"{'solar_potential': 25, 'icp_relevance': 25, 'building_type': 10, 'business_identified': 7, 'good_rating_bonus': 3}",
